Wort New,Bedeutung,verwandte Begriffe -->...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abgucken,abgucken,spinxen (umgangssprachlich),abschreiben,spicken (umgangssprachlich),mogeln,schummeln,kiebitzen,,,,,,,,,,,,,,,,,,,,,,,,
Abguss,Abguss,Abbildung,Abdruck,Gepräge,Guss,,,,,,,,,,,,,,,,,,,,,,,,,,
abhacken,abhacken,abschlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abhaken,abhaken,anhaken,ankreuzen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhaltung,Abhaltung,Umsetzung,Erledigung,Tätigung,Abwicklung,Vollzug,Abarbeitung,Durchführung,Erfüllung,Vollziehung,Transaktion,Ausführung,,,,,,,,,,,,,,,,,,,
abhandeln,abhandeln,erörtern,ausarbeiten,behandeln,abfassen,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhang,Abhang,Gefälle,Abfall,Senkung,Hang,,,,,,,,,,,,,,,,,,,,,,,,,,
abhängen ,abhängen (umgangssprachlich),(sich) herumtreiben,herumgammeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abhängig ,abhängig (von),süchtig,angewiesen (auf),dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhängigkeit,Abhängigkeit,Unmündigkeit,Hörigkeit,Unselbständigkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,
abheben ,abheben (Hörer des Telefons),Anruf entgegennehmen,ans Telefon gehen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abhelfend,abhelfend,Heil...,Hilfs...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhilfe,Abhilfe,Rechtsmittel,Rechtsbehelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhören ,Abhören (Tonband),Wiedergeben,Abspielen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhörgerät,Abhörgerät,Überwachungsgerät,Wanze (umgangssprachlich),,,,,,,,,,,,,,,,,,,,,,,,,,,,
abhorreszieren,abhorreszieren,verabscheuen,degoutieren,hassen,verachten,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhörstation,Abhörstation,Horchstelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitur,Abitur,Abiturprüfung,Reifeprüfung,Abschlussprüfung,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abiturient,Abiturient,Studienberechtigter,Maturant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abkanten,abkanten,abschrägen,abfasen,abrunden,schief stellen,,,,,,,,,,,,,,,,,,,,,,,,,,
abkanzeln,abkanzeln,diskreditieren,niedermachen,in Misskredit bringen,abwerten,mobben (umgangssprachlich),,,,,,,,,,,,,,,,,,,,,,,,,
abkommandieren,abkommandieren,detachieren (fachsprachlich),auswählen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abkommen,Abkommen,Vertrag,Kontrakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abkömmling,Abkömmling,Nachfahre,Nachwuchs,Spross,Nachkomme,Abkomme,,,,,,,,,,,,,,,,,,,,,,,,,
abkühlen,abkühlen,abschrecken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abkürzung,Abkürzung,Akronym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablagern,ablagern,deponieren,in Verwahrung geben,lagern,hinterlegen,,,,,,,,,,,,,,,,,,,,,,,,,,
ablagern lassen,ablagern lassen,ziehen lassen,reifen lassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ablagerung,Ablagerung,Sedimentbildung,Sedimentation,Sedimentierung,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablassen,ablassen,abfließen lassen,unterlassen,ableiten,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ablauf,Ablauf,Abarbeitung,Execution (fachsprachlich),Verarbeitung,Ausführung,,,,,,,,,,,,,,,,,,,,,,,,,,
ablaufen,ablaufen,verstreichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ablaufplan,Ablaufplan,Arbeitsplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ablaufstrang,Ablaufstrang,Abarbeitungsfaden,Thread,leichtgewichtiger Prozess,Aktivitätsträger,,,,,,,,,,,,,,,,,,,,,,,,,,
ablecken,ablecken,lutschen,abschlecken,schlecken,lecken,abschlabbern (umgangssprachlich),ablutschen,,,,,,,,,,,,,,,,,,,,,,,,
ablegen,ablegen,bereithalten,speichern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ableger,Ableger,Ausläufer,Vorberge,Absenker,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablehnen,ablehnen,es nicht über sich bringen (umgangssprachlich),abschlagen,es nicht übers Herz bringen (umgangssprachlich),abschmettern,versagen,verweigern,verwehren,abweisen,,,,,,,,,,,,,,,,,,,,,,
ableiten,ableiten,umleiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ableitung,Ableitung,Herleitung,Dissipation,Suffigierung (fachsprachlich),Derivation,,,,,,,,,,,,,,,,,,,,,,,,,,
ablenken,ablenken,(sich) zerstreuen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ablenkspule,Ablenkspule,Ableiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablesbar,ablesbar,erkenntlich,kenntlich,entzifferbar,erkennbar,,,,,,,,,,,,,,,,,,,,,,,,,,
Ablieferungstermin,Ablieferungstermin,letzter Termin,Abgabetermin,Fristende,Deadline,Stichtag,,,,,,,,,,,,,,,,,,,,,,,,,
Abmachung,Abmachung,Vereinbarung,Vergleich,Einigung,,,,,,,,,,,,,,,,,,,,,,,,,,,
abmagern,abmagern,ausmergeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abmagerungsdiät,Abmagerungsdiät,Reduktionsdiät,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abmessen,abmessen,eichen,vermessen,bestimmen,messen,ermitteln,erheben,,,,,,,,,,,,,,,,,,,,,,,,
abmildern,abmildern,abfedern,abbremsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abnahme,Abnahme,Erlaubnis,Zustimmung,Freigabe,grünes Licht (umgangssprachlich),Bewilligung,Signale stehen auf grün (umgangssprachlich),,,,,,,,,,,,,,,,,,,,,,,,
Abnahmebereich,Abnahmebereich,Gutbereich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abnahmebescheinigung,Abnahmebescheinigung,Abnahmeprotokoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abnahmekontrolle,Abnahmekontrolle,Abnahmeprüfung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abnehmen,abnehmen,abebben,abklingen,abflauen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abnehmer,Abnehmer,Rezipient,Empfänger,Adressat,Kunde,Käufer,,,,,,,,,,,,,,,,,,,,,,,,,
Abneigung,Abneigung,Feindseligkeit,Animosität,Feindlichkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abonnement,Abonnement,Abo,Dauerbestellung,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abonnieren,abonnieren,subskribieren,bestellen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abordnung,Abordnung,Delegation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aborigine,Aborigine,australischer Ureinwohner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abort,Abort,WC,Topf (umgangssprachlich),Bedürfnisanstalt,Latrine,Hütte (umgangssprachlich),Donnerbalken (umgangssprachlich),Kackstuhl (derb),Wasserklosett,Klosett,Scheißhaus (derb),Toilette,Klo (umgangssprachlich),,,,,,,,,,,,,,,,,,
Abortion ,Abortion (fachsprachlich),Schwangerschaftsunterbrechung,Abtreibung,Abort (fachsprachlich),Schwangerschaftsabbruch,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraum,Abraum,Abraumhalde (Kohlebergwerk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrechnungskonto,Abrechnungskonto,Girokonto,Liquiditätskonto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrechnungszeitraum,Abrechnungszeitraum,Abrechnungsperiode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abreiben,abreiben,(Räder, Reifen) abnutzen,abfahren,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abreibung,Abreibung,Reiben,Scheuern,Reibung,,,,,,,,,,,,,,,,,,,,,,,,,,,
abrichten,abrichten,drillen,einexerzieren,gründlich ausbilden,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrichtung,Abrichtung,Dressur,Tiertraining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abriegeln ,abriegeln (mit Posten),absperren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrissarbeiten,Abrissarbeiten,Abbrucharbeiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrollcontainer-Transportsystem,Abrollcontainer-Transportsystem,ACTS,Abroll-Container-Transport-System,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abroller,Abroller,Abwickeleinrichtung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abrufbereit,abrufbereit,in Bereitschaft,in den Startlöchern (umgangssprachlich),verfügbar,betriebsbereit,,,,,,,,,,,,,,,,,,,,,,,,,,
absacken ,absacken (umgangssprachlich),verkommen,versauern,vereinsamen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absage,Absage,Streichung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absahnen,absahnen,entsahnen,entfetten,entrahmen (Milch),,,,,,,,,,,,,,,,,,,,,,,,,,,
Absatz,Absatz,Gedichtabschnitt,Strophe,Vers,Sales (engl.),Verkauf,Vertrieb,Export,Ausfuhr,,,,,,,,,,,,,,,,,,,,,,
Abschaben,Abschaben,Abnützung,Abreibung,Abschleifung,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abschabung,Abschabung,Ausschabung,Abrasion (fachsprachlich),,,,,,,,,,,,,,,,,,,,,,,,,,,,
abschaffen,abschaffen,abwickeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abschälen,abschälen,abblättern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abschaltung,Abschaltung,Passivierung,Deaktivierung,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abschätzen,abschätzen,abwägen,taxieren,austarieren (umgangssprachlich),,,,,,,,,,,,,,,,,,,,,,,,,,,
Abschaum ,Abschaum (derb),Gesindel (derb),Pack (derb),Ganoven (derb),Mob (derb),Plebs,Pöbel (derb),,,,,,,,,,,,,,,,,,,,,,,,
Abscheulichkeit,Abscheulichkeit,Niederträchtigkeit,Niedertracht,Falschheit,Gemeinheit,,,,,,,,,,,,,,,,,,,,,,,,,,
Abschied,Abschied,Auseinandergehen,Weggang,Lebewohl,Entlassung,Trennung,,,,,,,,,,,,,,,,,,,,,,,,,
Abschied nehmen,Abschied nehmen,(sich) verabschieden,auf Wiedersehen sagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abschiednehmen,Abschiednehmen,Abschied,Abschiedsakt,Verabschiedung,,,,,,,,,,,,,,,,,,,,,,,,,,,
abschießen,abschießen,abfeuern,auf den Weg bringen,vom Himmel holen,herunterbringen,durch Beschuss zum Absturz bringen,,,,,,,,,,,,,,,,,,,,,,,,,
Abschirmung,Abschirmung,Schutz,Protektion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abschlag,Abschlag,Vergünstigung,Rabatt,Skonto,Nachlass,Preisnachlass,Ausgabeabschlag,Disagio,Abzahlung,Rate,Anteil,Teilzahlung,Teilbetrag,Quote,,,,,,,,,,,,,,,,,
abschlägig,abschlägig,ablehnend,abweisend,verweigernd,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abschlagsdividende,Abschlagsdividende,Zwischendividende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abschlagzahlung,Abschlagzahlung,Deposit,Pränumeration,Frankierung,Vorschuss,Vorleistung,Vorauszahlung,Anzahlung,Vorausbezahlung,Vorkasse,,,,,,,,,,,,,,,,,,,,,
abschleppen,abschleppen,schleppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abschließen,abschließen,zu Potte kommen (umgangssprachlich),fertig werden (mit),erfüllen,absolvieren,erledigen,fertig werden (mit),,,,,,,,,,,,,,,,,,,,,,,,
Abschluss,Abschluss,Beendigung,Erledigung,Terminierung,Beendung,Einstellung,,,,,,,,,,,,,,,,,,,,,,,,,
Abschlusskosten,Abschlusskosten,Anschaffungskosten,Akquisitionskosten,Primärkosten,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abschlusszwang,Abschlusszwang,Kontrahierungszwang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abschmecken,abschmecken,nachwürzen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abschmieren,abschmieren,ölen,schmieren,verschmieren,fetten,schmieren,,,,,,,,,,,,,,,,,,,,,,,,,
abschmieren ,abschmieren (umgangssprachlich),zusammenbrechen,abrauchen (umgangssprachlich),abstürzen,crashen (umgangssprachlich),,,,,,,,,,,,,,,,,,,,,,,,,,
abschmutzen ,abschmutzen (österr.),abbetteln,betteln,um Geld anpumpen (umgangssprachlich),anbetteln,schnorren (umgangssprachlich),,,,,,,,,,,,,,,,,,,,,,,,,
Abschneiden,Abschneiden,Zurechtschneiden,Beschneiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abschnitzeln,abschnitzeln,abraspeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
